dataset,ours_acc,millet_acc,acc_diff,acc_outcome,ours_loss,millet_loss,loss_diff,loss_outcome,ours_aopcr,millet_aopcr,aopcr_diff,aopcr_outcome,params,model_size_mb
Adiac,0.7596,0.8317,-0.0721,loss,0.8104,1.028,-0.2176,win,1.9379,15.8906,-13.9527,loss,272890,3.5531
ArrowHead,0.8457,0.8377,0.008,win,0.4412,1.0053,-0.5641,win,0.2622,3.2005,-2.9383,loss,268198,3.5352
Beef,0.9333,0.8467,0.0866,win,0.3644,0.965,-0.6006,win,0.9949,5.4866,-4.4917,loss,268474,3.5362
BeetleFly,0.8,0.92,-0.12,loss,0.4172,0.2905,0.1267,loss,0.4022,1.2424,-0.8402,loss,268060,3.5347
BirdChicken,1.0,0.94,0.06,win,0.1771,0.1447,0.0324,loss,0.4521,3.3665,-2.9144,loss,268060,3.5347
Car,0.9333,0.92,0.0133,win,0.2719,0.4259,-0.154,win,0.4414,6.6173,-6.1759,loss,268336,3.5358
CBF,1.0,0.9998,0.0002,tie,0.0996,0.0007,0.0989,loss,0.4044,3.5827,-3.1783,loss,268198,3.5352
ChlorineConcentration,0.749,0.8576,-0.1086,loss,0.6398,0.9747,-0.3349,win,0.0657,2.1418,-2.0761,loss,268198,3.5352
CinCECGTorso,0.813,0.8239,-0.0109,loss,0.5998,0.9547,-0.3549,win,1.2094,4.7745,-3.5651,loss,268336,3.5358
Coffee,1.0,1.0,0.0,tie,0.0678,0.0,0.0678,loss,0.3583,3.4889,-3.1306,loss,268060,3.5347
Computers,0.676,0.7688,-0.0928,loss,0.7432,2.1231,-1.3799,win,0.562,3.4427,-2.8807,loss,268060,3.5347
CricketX,0.8333,0.8267,0.0066,win,0.6681,0.9717,-0.3036,win,1.6255,4.5072,-2.8817,loss,269440,3.5399
CricketY,0.8487,0.8231,0.0256,win,0.5985,0.9759,-0.3774,win,1.306,4.8896,-3.5836,loss,269440,3.5399
CricketZ,0.8462,0.8574,-0.0112,loss,0.5612,0.8017,-0.2405,win,1.616,4.7715,-3.1555,loss,269440,3.5399
DiatomSizeReduction,0.9771,0.9719,0.0052,win,0.1835,0.0944,0.0891,loss,0.6095,1.0258,-0.4163,loss,268336,3.5358
DistalPhalanxOutlineAgeGroup,0.7482,0.7151,0.0331,win,0.5964,2.5757,-1.9793,win,-0.0035,2.4343,-2.4378,loss,268198,3.5352
DistalPhalanxOutlineCorrect,0.7609,0.7703,-0.0094,loss,0.524,2.0843,-1.5603,win,0.0716,0.6399,-0.5683,loss,268060,3.5347
DistalPhalanxTW,0.7122,0.6604,0.0518,win,0.799,2.8454,-2.0464,win,0.5271,3.1209,-2.5938,loss,268612,3.5368
Earthquakes,0.7554,0.7252,0.0302,win,0.5622,2.0855,-1.5233,win,0.3625,3.4927,-3.1302,loss,268060,3.5347
ECG200,0.88,0.896,-0.016,loss,0.3151,0.8048,-0.4897,win,0.0817,2.8601,-2.7784,loss,268060,3.5347
