rank,model,encoder,pooling,origin,web_acc,web_aopcr,web_ndcg,web_loss,ucr85_n,ucr85_acc,params,size_mb
1,seanet_gated_mean_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.9547,2.225,0.7496,0.2542,85,0.8083,61740,1.503
2,seanet_conjunctive,sea_mstcn_sep,mil_conjunctive,half-ours,0.954,1.5019,0.6983,0.2623,85,0.8238,269083,3.539
3,seanet_gated_max_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.952,2.2684,0.7185,0.3076,85,0.8108,61740,1.502
4,seanet_topk_nofocus,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.95,2.303,0.7653,0.2626,0,,41324,1.428
5,seanet_spiketrend_topk,sea_mstcn_sep_spiketrend,sea_topk_conjunctive,ours,0.95,2.316,0.756,0.2877,85,0.8089,67020,1.525
6,seanet_inputgate_mschan,sea_multiscale_channels,sea_topk_conjunctive,ours,0.948,2.3158,0.7571,0.3184,0,,69768,1.536
7,seanet_gated_mschan,sea_multiscale_channels,sea_topk_conjunctive,ours,0.948,2.2225,0.7171,0.2886,0,,67592,1.527
8,seanet_bottleneck_topk,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.9473,2.6214,0.7725,0.2819,85,0.8097,41324,1.428
9,seanet_recon_adaptive,sea_mstcn_sep_recon,sea_adaptive_classwise,ours,0.946,2.601,0.7679,0.2962,85,0.814,62935,1.51
10,seanet_inputgate_topk,sea_mstcn_sep_inputgate,sea_topk_conjunctive,ours,0.946,2.8031,0.7482,0.2605,85,0.8131,58092,1.489
11,seanet_classwise,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.946,1.7219,0.686,0.2917,85,0.8292,269164,3.539
12,seanet_gated_max,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.944,1.8892,0.5924,0.3063,85,0.8237,61740,1.502
13,seanet_gated_last_topk,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.942,2.3122,0.7483,0.3276,85,0.8015,61740,1.502
14,seanet,sea_mstcn_sep,mil_additive,half-ours,0.942,1.5791,0.7291,0.2597,85,0.8298,269083,3.539
15,seanet_gated_last,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.942,2.5202,0.7417,0.3272,85,0.7888,61740,1.502
16,seanet_recon_topk,sea_mstcn_sep_recon,sea_topk_conjunctive,ours,0.94,2.5052,0.6984,0.3206,85,0.8063,62925,1.51
17,seanet_topk_k025,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.94,2.6479,0.7332,0.2773,0,,41324,1.428
18,seanet_bottleneck_softmax,sea_mstcn_sep_bottleneck,sea_softmax_conjunctive,ours,0.94,1.6846,0.7401,0.3446,85,0.8106,41325,1.428
19,seanet_gated_last_adaptive,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.938,2.3874,0.7929,0.2888,85,0.8029,61750,1.503
20,seanet_spiketrend_adaptive,sea_mstcn_sep_spiketrend,sea_adaptive_classwise,ours,0.934,1.9128,0.7471,0.3014,85,0.801,67030,1.526
21,seanet_recon_softmax,sea_mstcn_sep_recon,sea_softmax_conjunctive,ours,0.932,1.6417,0.723,0.3414,0,,62926,1.51
22,seanet_slim_topk,sea_mstcn_sep,sea_topk_conjunctive,ours,0.932,2.6911,0.7776,0.3059,85,0.8093,57580,1.484
23,seanet_bottleneck_gatedattn,sea_mstcn_sep_bottleneck,sea_gated_attention,ours,0.93,2.2315,0.7413,0.3131,85,0.8146,41844,1.43
24,seanet_spiketrend_gatedattn,sea_mstcn_sep_spiketrend,sea_gated_attention,ours,0.93,1.5926,0.7205,0.3503,85,0.8039,67540,1.528
25,seanet_gated,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.93,2.4077,0.6374,0.3591,85,0.79,61740,1.502
26,seanet_slim_adaptive,sea_mstcn_sep,sea_adaptive_classwise,ours,0.93,2.448,0.7928,0.3355,0,,57590,1.485
27,seanet_bottleneck_mschan,sea_multiscale_channels,sea_topk_conjunctive,ours,0.926,2.2378,0.7774,0.3573,0,,47176,1.453
28,seanet_bottleneck_mschan_lean,sea_multiscale_channels,sea_topk_conjunctive,ours,0.924,2.762,0.7346,0.3889,0,,43576,1.439
29,seanet_gated_last_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.92,1.9895,0.7378,0.3806,0,,61741,1.503
30,millet_paper,mil_inceptiontime,mil_conjunctive,millet,0.92,13.2684,0.6612,0.3715,84,0.8434,423707,4.11
31,seanet_acp,sea_mstcn_sep,sea_adaptive_classwise,ours,0.918,1.6081,0.6188,0.3601,85,0.8134,269174,3.539
32,seanet_gated_last_gatedattn,sea_mstcn_sep_gated,sea_gated_attention,ours,0.918,1.3542,0.757,0.3653,85,0.8048,62260,1.505
33,seanet_slim,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.916,2.4782,0.7185,0.3826,0,,57580,1.484
34,seanet_gated_max_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.914,1.8836,0.776,0.3722,0,,61741,1.503
35,seanet_inputgate,sea_mstcn_sep_inputgate,sea_classwise_conjunctive,ours,0.914,2.4805,0.7145,0.3976,0,,58092,1.489
36,seanet_gated_mean_softmax,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.912,2.0929,0.7651,0.3684,0,,61741,1.503
37,seanet_recon,sea_mstcn_sep_recon,sea_classwise_conjunctive,ours,0.91,2.5041,0.6804,0.4172,0,,62925,1.51
38,seanet_topk_k100,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.908,2.4355,0.722,0.3946,0,,41324,1.428
39,seanet_gated_max_adaptive,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.906,2.0712,0.7286,0.4437,0,,61750,1.503
40,seanet_inputgate_adaptive,sea_mstcn_sep_inputgate,sea_adaptive_classwise,ours,0.9053,2.6508,0.7321,0.3897,85,0.8153,58102,1.489
41,seanet_spiketrend,sea_mstcn_sep_spiketrend,sea_classwise_conjunctive,ours,0.904,2.1545,0.6985,0.3954,0,,67020,1.525
42,seanet_bottleneck,sea_mstcn_sep_bottleneck,sea_classwise_conjunctive,ours,0.902,2.5717,0.7325,0.3952,0,,41324,1.428
43,seanet_gated_mean,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.902,2.4928,0.7139,0.3929,0,,61740,1.502
44,seanet_inputgate_softmax,sea_mstcn_sep_inputgate,sea_softmax_conjunctive,ours,0.894,1.6363,0.6955,0.4539,0,,58093,1.489
45,seanet_slim_gatedattn,sea_mstcn_sep,sea_gated_attention,ours,0.894,2.2958,0.7141,0.4027,0,,58100,1.487
46,seanet_recon_attnmax,sea_mstcn_sep_recon,sea_attention_max,ours,0.892,2.3242,0.7245,0.4994,0,,62935,1.51
47,seanet_slim_softmax,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.89,1.8316,0.7049,0.4195,0,,57581,1.485
48,seanet_slim_gatedattn,sea_mstcn_sep_gated,mil_attention,half-ours,0.888,2.4029,0.7101,0.4263,0,,58100,1.487
49,seanet_topk_k005,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.888,2.2883,0.715,0.4013,0,,41324,1.428
50,millet,mil_inceptiontime,mil_conjunctive,millet,0.8873,2.569,0.6769,0.5073,84,0.8274,423707,4.11
51,seanet_gated_max_attnmax,sea_mstcn_sep_gated,sea_attention_max,ours,0.886,1.1242,0.5754,0.5881,0,,61750,1.503
52,seanet_topk_k050,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.882,3.1143,0.7321,0.4184,0,,41324,1.428
53,seanet_softmax,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.88,1.0152,0.6045,0.4549,85,0.8131,269165,3.539
54,seanet_spiketrend_softmax,sea_mstcn_sep_spiketrend,sea_softmax_conjunctive,ours,0.878,1.4347,0.665,0.4883,0,,67021,1.526
