rank,model,encoder,pooling,origin,web_acc,web_aopcr,web_ndcg,web_loss,ucr85_n,ucr85_acc,params,size_mb
1,sea_gated-me…ea_topk_conj,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.954,2.2926,0.7721,0.2546,85,0.8083,61740,1.502
2,sea_mstcn__mil_conj,sea_mstcn_sep,mil_conjunctive,half-ours,0.954,1.5019,0.6983,0.2623,85,0.8238,269083,3.539
3,sea_gated-ma…ea_topk_conj,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.952,2.2684,0.7185,0.3076,85,0.8108,61740,1.502
4,sea_spiketre…ea_topk_conj,sea_mstcn_sep_spiketrend,sea_topk_conjunctive,ours,0.95,2.316,0.756,0.2877,0,,67020,1.525
5,sea_mstcn-cl…sea_cls_conj,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.946,1.7219,0.686,0.2917,85,0.8292,269164,3.539
6,sea_recon__sea_adapt_cls,sea_mstcn_sep_recon,sea_adaptive_classwise,ours,0.946,2.601,0.7679,0.2962,85,0.814,62935,1.51
7,sea_inputgat…ea_topk_conj,sea_mstcn_sep_inputgate,sea_topk_conjunctive,ours,0.946,2.8031,0.7482,0.2605,85,0.8131,58092,1.489
8,sea_gated-ma…sea_cls_conj,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.944,1.8892,0.5924,0.3063,85,0.8237,61740,1.502
9,sea_gated-la…sea_cls_conj,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.942,2.5202,0.7417,0.3272,85,0.7888,61740,1.502
10,sea_mstcn__mil_add,sea_mstcn_sep,mil_additive,half-ours,0.942,1.5791,0.7291,0.2597,85,0.8298,269083,3.539
11,sea_gated-la…ea_topk_conj,sea_mstcn_sep_gated,sea_topk_conjunctive,ours,0.942,2.3122,0.7483,0.3276,85,0.8015,61740,1.502
12,sea_bottlene…_sea_sm_conj,sea_mstcn_sep_bottleneck,sea_softmax_conjunctive,ours,0.94,1.6846,0.7401,0.3446,85,0.8106,41325,1.428
13,sea_recon__sea_topk_conj,sea_mstcn_sep_recon,sea_topk_conjunctive,ours,0.94,2.5052,0.6984,0.3206,85,0.8063,62925,1.51
14,sea_bottlene…ea_topk_conj,sea_mstcn_sep_bottleneck,sea_topk_conjunctive,ours,0.938,2.7784,0.7768,0.2992,0,,41324,1.428
15,sea_gated-la…ea_adapt_cls,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.938,2.3874,0.7929,0.2888,0,,61750,1.503
16,sea_inputgat…ea_adapt_cls,sea_mstcn_sep_inputgate,sea_adaptive_classwise,ours,0.938,3.1259,0.7767,0.2749,0,,58102,1.489
17,sea_spiketre…ea_adapt_cls,sea_mstcn_sep_spiketrend,sea_adaptive_classwise,ours,0.934,1.9128,0.7471,0.3014,0,,67030,1.526
18,sea_recon__sea_sm_conj,sea_mstcn_sep_recon,sea_softmax_conjunctive,ours,0.932,1.6417,0.723,0.3414,0,,62926,1.51
19,sea_mstcn__sea_topk_conj,sea_mstcn_sep,sea_topk_conjunctive,ours,0.932,2.6911,0.7776,0.3059,0,,57580,1.484
20,sea_spiketre…a_gated_attn,sea_mstcn_sep_spiketrend,sea_gated_attention,ours,0.93,1.5926,0.7205,0.3503,85,0.8039,67540,1.528
21,sea_mstcn-sl…ea_adapt_cls,sea_mstcn_sep,sea_adaptive_classwise,ours,0.93,2.448,0.7928,0.3355,0,,57590,1.485
22,sea_gated-ga…sea_cls_conj,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.93,2.4077,0.6374,0.3591,85,0.79,61740,1.502
23,sea_bottlene…a_gated_attn,sea_mstcn_sep_bottleneck,sea_gated_attention,ours,0.93,2.2315,0.7413,0.3131,85,0.8146,41844,1.43
24,sea_gated-la…_sea_sm_conj,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.92,1.9895,0.7378,0.3806,0,,61741,1.503
25,sea_gated__sea_gated_attn,sea_mstcn_sep_gated,sea_gated_attention,ours,0.918,1.3542,0.757,0.3653,85,0.8048,62260,1.505
26,sea_mstcn-ac…ea_adapt_cls,sea_mstcn_sep,sea_adaptive_classwise,ours,0.918,1.6081,0.6188,0.3601,0,,269174,3.539
27,sea_mstcn-sl…sea_cls_conj,sea_mstcn_sep,sea_classwise_conjunctive,ours,0.916,2.4782,0.7185,0.3826,0,,57580,1.484
28,sea_gated-max__sea_sm_conj,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.914,1.8836,0.776,0.3722,0,,61741,1.503
29,sea_inputgat…sea_cls_conj,sea_mstcn_sep_inputgate,sea_classwise_conjunctive,ours,0.914,2.4805,0.7145,0.3976,0,,58092,1.489
30,sea_gated-me…_sea_sm_conj,sea_mstcn_sep_gated,sea_softmax_conjunctive,ours,0.912,2.0929,0.7651,0.3684,0,,61741,1.503
31,sea_recon__sea_cls_conj,sea_mstcn_sep_recon,sea_classwise_conjunctive,ours,0.91,2.5041,0.6804,0.4172,0,,62925,1.51
32,sea_gated-ma…ea_adapt_cls,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.906,2.0712,0.7286,0.4437,0,,61750,1.503
33,sea_spiketre…sea_cls_conj,sea_mstcn_sep_spiketrend,sea_classwise_conjunctive,ours,0.904,2.1545,0.6985,0.3954,0,,67020,1.525
34,sea_bottlene…sea_cls_conj,sea_mstcn_sep_bottleneck,sea_classwise_conjunctive,ours,0.902,2.5717,0.7325,0.3952,0,,41324,1.428
35,sea_gated-me…sea_cls_conj,sea_mstcn_sep_gated,sea_classwise_conjunctive,ours,0.902,2.4928,0.7139,0.3929,0,,61740,1.502
36,sea_inputgate__sea_sm_conj,sea_mstcn_sep_inputgate,sea_softmax_conjunctive,ours,0.894,1.6363,0.6955,0.4539,0,,58093,1.489
37,mil_incept__mil_conj,mil_inceptiontime,mil_conjunctive,millet,0.894,1.5936,0.6711,0.515,0,,423707,4.11
38,sea_recon__sea_attn_max,sea_mstcn_sep_recon,sea_attention_max,ours,0.892,2.3242,0.7245,0.4994,0,,62935,1.51
39,sea_mstcn-sl…_sea_sm_conj,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.89,1.8316,0.7049,0.4195,0,,57581,1.485
40,sea_gated__mil_attn,sea_mstcn_sep_gated,mil_attention,half-ours,0.888,2.4029,0.7101,0.4263,0,,58100,1.487
41,sea_gated-ma…sea_attn_max,sea_mstcn_sep_gated,sea_attention_max,ours,0.886,1.1242,0.5754,0.5881,0,,61750,1.503
42,sea_mstcn-so…_sea_sm_conj,sea_mstcn_sep,sea_softmax_conjunctive,ours,0.88,1.0152,0.6045,0.4549,0,,269165,3.539
43,sea_spiketre…_sea_sm_conj,sea_mstcn_sep_spiketrend,sea_softmax_conjunctive,ours,0.878,1.4347,0.665,0.4883,0,,67021,1.526
44,sea_bottlene…ea_adapt_cls,sea_mstcn_sep_bottleneck,sea_adaptive_classwise,ours,0.868,1.9689,0.6805,0.5591,6,0.7772,41334,1.428
45,sea_mstcn__sea_dual_conj,sea_mstcn_sep,sea_dualstream_conjunctive,ours,0.86,2.3993,0.7454,0.498,0,,58101,1.487
46,sea_gated-me…ea_adapt_cls,sea_mstcn_sep_gated,sea_adaptive_classwise,ours,0.86,2.2384,0.731,0.5491,0,,61750,1.503
47,sea_inputgat…sea_attn_max,sea_mstcn_sep_inputgate,sea_attention_max,ours,0.858,2.1534,0.6997,0.6245,0,,58102,1.489
48,sea_gated-la…sea_attn_max,sea_mstcn_sep_gated,sea_attention_max,ours,0.854,1.7792,0.668,0.5984,0,,61750,1.503
49,sea_spiketre…sea_attn_max,sea_mstcn_sep_spiketrend,sea_attention_max,ours,0.854,1.6457,0.6438,0.6368,0,,67030,1.526
50,sea_gated-me…sea_attn_max,sea_mstcn_sep_gated,sea_attention_max,ours,0.832,1.6723,0.7042,0.6653,0,,61750,1.503
51,sea_bottlene…ea_dual_conj,sea_mstcn_sep_bottleneck,sea_dualstream_conjunctive,ours,0.824,2.0374,0.6516,0.638,0,,41845,1.431
52,sea_bottlene…sea_attn_max,sea_mstcn_sep_bottleneck,sea_attention_max,ours,0.816,1.7368,0.6101,0.7318,0,,41334,1.428
53,mil_resnet__mil_conj,mil_resnet,mil_conjunctive,millet,0.772,2.9522,0.554,0.8237,0,,506331,4.416
54,mil_fcn__mil_conj,mil_fcn,mil_conjunctive,millet,0.742,3.8256,0.5327,0.9105,0,,267035,3.474
55,sea_gated__sea_dual_conj,sea_mstcn_sep_gated,sea_dualstream_conjunctive,ours,0.736,1.947,0.6373,0.8037,0,,62261,1.505
56,sea_mstcn__sea_attn_max,sea_mstcn_sep,sea_attention_max,ours,0.714,1.6298,0.5318,0.8545,0,,57590,1.485
57,sea_spiketre…ea_dual_conj,sea_mstcn_sep_spiketrend,sea_dualstream_conjunctive,ours,0.556,1.6425,0.5099,1.2602,0,,67541,1.528
