model,avg_rank,win,tie,loss,mean_gap
sea_mstcn-cl…sea_cls_conj,10.946428571428571,26,19,39,-0.015784708722027592
sea_mstcn__mil_add,11.416666666666666,23,19,42,-0.015104946817265697
mil_incept__mil_conj,11.863095238095237,13,25,46,-0.015854946817265687
sea_mstcn__mil_conj,11.863095238095237,22,20,42,-0.021164470626789507
sea_mstcn-ac…ea_adapt_cls,12.196428571428571,24,17,43,-0.03172161348393236
sea_gated-ma…sea_cls_conj,12.464285714285714,19,17,48,-0.02123113729345617
mil_resnet__mil_conj,12.892857142857142,25,11,48,-0.030101375388694267
sea_spiketre…ea_topk_conj,13.273809523809524,18,23,43,-0.036269232531551406
sea_inputgat…ea_topk_conj,13.43452380952381,22,16,46,-0.03200256586488474
sea_gated-ma…ea_topk_conj,13.577380952380953,21,16,47,-0.034308518245837125
mil_fcn__mil_conj,13.81547619047619,20,12,52,-0.03095732776964665
sea_recon__sea_adapt_cls,14.214285714285714,18,18,48,-0.031087089674408548
sea_gated-la…ea_adapt_cls,14.452380952380953,17,18,49,-0.04228113729345616
sea_bottlene…a_gated_attn,14.56547619047619,22,14,48,-0.030441851579170454
sea_gated-me…ea_topk_conj,14.577380952380953,18,13,53,-0.0368692325315514
sea_bottlene…ea_topk_conj,14.708333333333334,19,15,50,-0.035409708722027596
sea_inputgat…ea_adapt_cls,14.785714285714286,19,15,50,-0.029793835706154577
sea_bottlene…_sea_sm_conj,14.922619047619047,21,17,46,-0.034540661102979986
sea_recon__sea_topk_conj,15.011904761904763,18,19,47,-0.038858518245837116
sea_spiketre…ea_adapt_cls,15.05952380952381,23,12,49,-0.04416685157917046
sea_mstcn__sea_topk_conj,15.083333333333334,19,11,54,-0.03585018491250379
sea_gated-la…ea_topk_conj,15.095238095238095,16,17,51,-0.04365732776964664
sea_gated__sea_gated_attn,15.196428571428571,16,15,53,-0.04040732776964665
sea_gated-ga…sea_cls_conj,15.517857142857142,15,15,54,-0.05524185157917045
sea_spiketre…a_gated_attn,15.56547619047619,14,14,56,-0.04132994681726569
sea_gated-la…sea_cls_conj,15.642857142857142,16,12,56,-0.056495423007741866
sea_mstcn-so…_sea_sm_conj,15.857142857142858,16,13,55,-0.03202042300774188
